organization	recall_number	recall_date	recall_url	manufacturers	product_types	descriptions	upcs	hazards	countries
CPSC	14098	2014-01-30	http://www.cpsc.gov/en/Recalls/2014/Strollers-Recalled-by-Britax/	Britax Child Safety	Strollers & Accessories	B-Agile, B-Agile Double and BOB Motion strollers		Injury	China
CPSC	14094	2014-01-29	http://www.cpsc.gov/en/Recalls/2014/IKEA-Expands-Recall-of-Junior-Beds-that-Pose-Laceration-Hazard/	IKEA	Beds/Cots	KRITTER and SNIGLAR Junior Beds		Laceration	China
CPSC	14091	2014-01-28	http://www.cpsc.gov/en/Recalls/2014/Horizon-Hobby-Recalls-Remote-Controlled-Model-Helicopters/	Shenzen Shen's Tongchuang Aeronatic Model	Radio-Controlled Airplanes	Blade 500 X BNF and Blade 500 3D RTF and BNF Remote Controlled Model Helicopters		Injury	China
CPSC	14093	2014-01-28	http://www.cpsc.gov/en/Recalls/2014/Reebok-CCM-Recalls-Senior-Hockey-Elbow-Pads/	Sport Maska	Sports Equipment & Accessories	EP20K Senior (SR) Hockey Elbow Pads		Injury	China
CPSC	14092	2014-01-28	http://www.cpsc.gov/en/Recalls/2014/Bodum-USA-Recalls-Coffee-Presses-Sold-Exclusively-at-Starbucks/	Starbucks Coffee	Coffeemakers/Coffeepots/Teapots/Kettles	Bodum® rose gold glass coffee presses		Laceration	Portugal
CPSC	14713	2014-01-28	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/System-Sensor-Recalls-Reflected-Beam-Smoke-Detectors/	System Sensor	Smoke Detectors/Alarms	System Sensor reflected beam smoke detectors		Fire & Fire-Related Burn	United States
CPSC	14090	2014-01-24	http://www.cpsc.gov/en/Recalls/2014/Ergotron-Recalls-Television-Wall-Mounts/	Ergotron	Televisions, Mounts, Guards & Antennas	Ergotron Interactive Wall Mounts, PLAY40, PLAY40DS, PLAY70, ITV-HD, ITV-VHD, OM80FM, OBFM120, OBFM60		Injury	China
CPSC	14086	2014-01-23	http://www.cpsc.gov/en/Recalls/2014/Matrix-Fitness-Ascent-Trainers-and-Ellipticals-Recalled-by-Johnson-Health-Tech/	Johnson Health Tech North America	Exercise Machines/Equipment	Johnson Health Tech North America Ascent Trainer by Matrix and Matrix Fitness Elliptical, model numbers beginning with A3x, A5x, A7x, E3x, E5x or E7x		Fire & Fire-Related Burn	Taiwan
CPSC	14087	2014-01-23	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=14087	P.T. Topus International	Lights & Accessories	P.T. Topus International Rayovac flashlights, LED Industrial model ILED2AA, LED plastic model BRSELED2AA-BA, model BRSELED2AA-BDGDI		Fire & Fire-Related Burn	Indonesia
CPSC	14088	2014-01-23	http://www.cpsc.gov/en/Recalls/2014/Suunto-Recalls-Air-Hoses-Used-With-Scuba-Gear/	Suunto Oy	Scuba Diving/Water Activity Equipment	Suunto Oy Scuba high-pressure air hoses, "5000 PSIG PRESSURE TESTED - MADE IN THE U.S.A," the batch code "1812" and the product code are printed on it		Drowning	Finland
CPSC	14712	2014-01-23	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Pottery-Barn-Recalls-Morovian-Star-Pendant-Chandeliers/	Pottery Barn	Lights & Accessories	Pottery Barn Oversized Morovian Star Pendant Chandeliers, SKU 2275188, 2379394		Injury	China
CPSC	14089	2014-01-23	http://www.cpsc.gov/en/Recalls/2014/Flushmate-Expands-Recall-of-Flushmate-III-Pressure-Assisted-Flushing-System/	Flushmate	Baths & Bath Accessories	Flushmate III Pressure-Assist Flushing System, date code range for units included in this recall in MMDDYY format is 030108 (March 1, 2008) through 063009 (June 30, 2009)		Impact	United States
CPSC	14083	2014-01-22	http://www.cpsc.gov/en/Recalls/2014/Baby-Rattles-Recalled-by-Midwest-CBK/	Midwest-CBK	Rattles	Midwest-CBK Baby rattles, Sweet-ums, production date 04/2013 and the batch #:00001281		Choking	China
CPSC	14084	2014-01-22	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=14084	Playtex Products	Pacifiers & Accessories	Playtex pacifier holder clips, sold in green with a monkey figure, pink with a flower and blue with a tow truck		Choking	China
CPSC	14085	2014-01-22	http://www.cpsc.gov/en/Recalls/2014/Nationwide-Industries-Recalls-Trident-Pool-Gate-Latches/	Nationwide Industries	Swimming Pool Items	Nationwide Industries Trident Pool Gate Latches, 10" or 20" models in black or white		Safety Equipment Malfunction	China
CPSC	14081	2014-01-16	http://www.cpsc.gov/en/Recalls/2014/Philips-Selecon-Recalls-Four-and-Eight-Leaf-Barndoors-for-Rama-Luminaire-Stage-Lights/	Strand Selecon Lighting	Lights & Accessories	Philips Selecon Stage Light Barndoors, Rama Luminaire Stage Lights, Four-leaf barndoors are part number 20BDSF12 and eight-leaf barndoors are part number 20BDSF128		Impact	New Zealand
CPSC	14082	2014-01-16	http://www.cpsc.gov/en/Recalls/2014/RSI-Recalls-Bathroom-Medicine-Cabinets/	RSI Home Products	Medicine Cabinets	RSI Glacier Bay Bathroom medicine cabinets, The Home Depot, S2327OS-ACO, S3027OS-ACO, S2127C-JAV, S2127C-WHT		Injury	United States
CPSC	14711	2014-01-16	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2014/Bosch-Security-Systems-Recalls-Fire-Control-Panels/	Bosch Security Systems	Fire Warning Systems	Bosch Security Systems GV4 Fire Alarm Control Panels, model number D9412GV4, D7412GV4 or D7212GV4		Safety Equipment Malfunction	China
CPSC	14080	2014-01-15	http://www.cpsc.gov/en/Recalls/2014/Sears-and-Kmart-Recall-Kenmore-Oscillating-Fan-Heaters/	Collins	Electric Heaters	Sears and Kmart, Kenmore oscillating fan heaters, model number 127.90914310		Fire & Fire-Related Burn	China
